20230818	14:43:26	4b94f8da-d47c-41d2-86f3-cfacfcb77c3f	GET	 undefined	 /
20230818	14:43:27	82fa8d2f-92f8-47bb-b33c-fa6b8967058c	GET	 undefined	 /favicon.ico
20230818	14:43:38	065bcf9c-4976-4890-874a-a993ebd2abfc	GET	 undefined	 /login
20230818	14:44:21	0ba2aae2-f736-4815-bdec-480767522437	GET	 undefined	 /login
20230818	14:44:23	c871038d-14a7-4c8c-843b-a52fc7b7ccf5	GET	 undefined	 /login
20230818	14:44:31	fa400dd8-689b-4e51-ac09-b5838078e65f	GET	 undefined	 /
20230818	14:44:37	1962c78d-927d-42c7-8d14-f257e53b61d6	GET	 undefined	 /bills
20230818	14:44:50	78727a4c-bfb8-4413-a7f1-93e6039e346f	GET	 undefined	 /bill/20
20230818	14:44:57	eeba6513-12e6-41be-bb62-07ab41b7a2cc	GET	 undefined	 /details
20230818	14:45:07	287adcc3-9425-4b6e-bcc4-931b255f3389	GET	 undefined	 /login
20230818	14:45:30	daa023ce-8c50-4a9f-98b0-68fd60354604	GET	 undefined	 /signup
20230818	14:45:36	dab3c813-c7ca-43a3-a7a6-74b0bc244179	GET	 undefined	 /logout
20230818	14:46:40	7aa99129-7641-474d-beb5-135af60cce82	GET	 undefined	 /logout
20230818	16:37:13	035481c2-35a7-442c-a651-a754e09da181	GET	 undefined	 /
20230818	16:37:35	8d4842cb-6f63-4479-8946-4c67a0ac1ef3	GET	 undefined	 /
20230818	16:37:41	30c2bb7d-f8cd-4f71-a3ab-202127ab3bb8	GET	 undefined	 /login
20230818	16:37:46	5283d4e1-4fa0-4343-b144-fa22c6918267	GET	 undefined	 /signin
20230818	16:37:53	744a50b5-cc95-431c-a30d-04f68b35265a	GET	 undefined	 /details
20230818	16:38:07	70ed817b-73b8-4614-ba36-baf9410481a8	GET	 undefined	 /signin
20230818	16:38:20	12550bde-59f8-4d51-a599-64e7d31b448a	GET	 undefined	 /signup
20230818	16:38:36	546d3db1-2d15-414b-86b8-0e208fb5c098	POST	 undefined	 /signup
20230818	16:38:43	6bd56093-a9ce-4d4f-9379-eee51ab06671	GET	 undefined	 /bills
20230818	16:38:52	5e892bb7-cbc9-48d2-94a8-1cb9afdc7329	GET	 undefined	 /bill/2
20230818	16:39:08	f7d858df-3946-42f9-b9f4-e20959068595	GET	 undefined	 /details
20230818	16:42:34	6719c87e-9371-4e09-b833-a71eed6128b8	GET	 undefined	 /details
20230818	16:42:37	8ea7eec0-6706-4aad-806d-38f8565bbdb7	POST	 undefined	 /details
20230818	16:42:41	59454482-5e30-4c90-bd3e-a11139acddb4	PUT	 undefined	 /details
20230818	16:44:52	709e8860-ea16-42df-a3a6-5274ca505c5f	PUT	 undefined	 /details
20230818	17:47:05	a7e4b312-df58-4e68-b211-15cdef181ae4	PUT	 undefined	 /details
20230818	17:47:09	ebd5c071-05a1-4ce2-ad93-33c0746f5748	POST	 undefined	 /details
20230818	17:47:13	62abf335-1a1a-4be2-807c-6dc0a332997e	GET	 undefined	 /details
20230818	17:47:22	35e703a6-ce15-4aa8-ac90-89fd8ad92796	POST	 undefined	 /signin
20230818	17:47:30	2da7518b-7fbb-427f-8da8-451fd01cddaa	GET	 undefined	 /bills
20230818	17:47:34	9d4b101e-8356-4943-b9ec-42215f2b6cec	GET	 undefined	 /bill/3
20230818	17:48:09	4e31e4ef-786e-4a0a-917e-e1dba2ebd5c0	GET	 undefined	 /bill/3
20230818	17:48:27	bbb8521d-a584-481d-9ed1-7b77e4d4df20	GET	 undefined	 /bill/3
20230822	16:38:47	db96a3ea-a1ab-4f91-9b9d-734c818dc055	POST	 undefined	 /signup
20230822	16:39:48	e47c466b-bc05-4a39-9942-b26e780a7b57	POST	 undefined	 /signup
20230822	16:39:55	184eecd4-f01f-4167-b162-70551667ea26	POST	 undefined	 /signup
20230822	16:39:57	e9443d56-fc66-4479-9e05-fa6b35d9a4ba	POST	 undefined	 /signup
20230822	16:40:01	9d775e2e-6628-4592-a8f3-aa307ff977f6	POST	 undefined	 /signup
20230822	16:40:07	468d327f-2140-4fca-9eae-d0d4ad3d51f2	POST	 undefined	 /signin
20230822	16:40:12	9b0fa9ea-8019-4f28-9199-5df5983254fe	POST	 undefined	 /signin
20230822	16:40:18	f2127ce0-7536-420b-95c8-d4cd0c97f331	POST	 undefined	 /signin
